Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _virtual","Meta: bville_id"
variation,BVL-PIZZA-MEAT-LOVERS-16,"Meat Lover's - 16""",1,0,visible,,,taxable,,1,,0,0,0,22.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-meat-lovers.jpg,BVL-PIZZA-MEAT-LOVERS,1,Size,"16""",1,0,yes,pizza-meat-lovers
variable,BVL-PIZZA-WHITE-PIE,"White Pie",1,0,visible,"Mozzarella & ricotta cheese","Mozzarella & ricotta cheese",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-white-pie.jpg,,66,Size,"12"" | 16""",1,0,yes,pizza-white-pie
variation,BVL-PIZZA-WHITE-PIE-12,"White Pie - 12""",1,0,visible,,,taxable,,1,,0,0,0,13.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-white-pie.jpg,BVL-PIZZA-WHITE-PIE,0,Size,"12""",1,0,yes,pizza-white-pie
variation,BVL-PIZZA-WHITE-PIE-16,"White Pie - 16""",1,0,visible,,,taxable,,1,,0,0,0,18.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-white-pie.jpg,BVL-PIZZA-WHITE-PIE,1,Size,"16""",1,0,yes,pizza-white-pie
variable,BVL-PIZZA-CHICKEN-PARM,"Chicken Parmesan",1,0,visible,"Breaded chicken cutlet, pomodoro sauce mozzarella & fresh basil","Breaded chicken cutlet, pomodoro sauce mozzarella & fresh basil",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-chicken-parm.jpg,,67,Size,"12"" | 16""",1,0,yes,pizza-chicken-parm
variation,BVL-PIZZA-CHICKEN-PARM-12,"Chicken Parmesan - 12""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-chicken-parm.jpg,BVL-PIZZA-CHICKEN-PARM,0,Size,"12""",1,0,yes,pizza-chicken-parm
variation,BVL-PIZZA-CHICKEN-PARM-16,"Chicken Parmesan - 16""",1,0,visible,,,taxable,,1,,0,0,0,21.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-chicken-parm.jpg,BVL-PIZZA-CHICKEN-PARM,1,Size,"16""",1,0,yes,pizza-chicken-parm
variable,BVL-PIZZA-BBQ-BUFFALO,"BBQ or Buffalo Chicken",1,0,visible,,,taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-bbq-buffalo.jpg,,68,Size,"12"" | 16""",1,0,yes,pizza-bbq-buffalo
variation,BVL-PIZZA-BBQ-BUFFALO-12,"BBQ or Buffalo Chicken - 12""",1,0,visible,,,taxable,,1,,0,0,0,15.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-bbq-buffalo.jpg,BVL-PIZZA-BBQ-BUFFALO,0,Size,"12""",1,0,yes,pizza-bbq-buffalo
variation,BVL-PIZZA-BBQ-BUFFALO-16,"BBQ or Buffalo Chicken - 16""",1,0,visible,,,taxable,,1,,0,0,0,21.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-bbq-buffalo.jpg,BVL-PIZZA-BBQ-BUFFALO,1,Size,"16""",1,0,yes,pizza-bbq-buffalo
variable,BVL-PIZZA-VEGGIE,"Vegetarian Lover's",1,0,visible,"Peppers, onions, mushrooms & olives","Peppers, onions, mushrooms & olives",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-veggie.jpg,,69,Size,"12"" | 16""",1,0,yes,pizza-veggie
variation,BVL-PIZZA-VEGGIE-12,"Vegetarian Lover's - 12""",1,0,visible,,,taxable,,1,,0,0,0,12.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-veggie.jpg,BVL-PIZZA-VEGGIE,0,Size,"12""",1,0,yes,pizza-veggie
variation,BVL-PIZZA-VEGGIE-16,"Vegetarian Lover's - 16""",1,0,visible,,,taxable,,1,,0,0,0,19.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-veggie.jpg,BVL-PIZZA-VEGGIE,1,Size,"16""",1,0,yes,pizza-veggie
variable,BVL-PIZZA-PHILLY,"Philly Cheesesteak",1,0,visible,"Sautéed beef, onions, peppers, mushrooms & mozzarella cheese topped with American cheese","Sautéed beef, onions, peppers, mushrooms & mozzarella cheese topped with American cheese",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-philly.jpg,,70,Size,"12"" | 16""",1,0,yes,pizza-philly
variation,BVL-PIZZA-PHILLY-12,"Philly Cheesesteak - 12""",1,0,visible,,,taxable,,1,,0,0,0,15.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-philly.jpg,BVL-PIZZA-PHILLY,0,Size,"12""",1,0,yes,pizza-philly
variation,BVL-PIZZA-PHILLY-16,"Philly Cheesesteak - 16""",1,0,visible,,,taxable,,1,,0,0,0,23.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-philly.jpg,BVL-PIZZA-PHILLY,1,Size,"16""",1,0,yes,pizza-philly
variable,BVL-PIZZA-BVILLE-SPECIAL,"B'Ville Special",1,0,visible,"Shawarma chicken, lettuce, tomato, onion & parsley with garlic sauce drizzle","Shawarma chicken, lettuce, tomato, onion & parsley with garlic sauce drizzle",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-bville-special.jpg,,71,Size,"12"" | 16""",1,0,yes,pizza-bville-special
variation,BVL-PIZZA-BVILLE-SPECIAL-12,"B'Ville Special - 12""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-bville-special.jpg,BVL-PIZZA-BVILLE-SPECIAL,0,Size,"12""",1,0,yes,pizza-bville-special
variation,BVL-PIZZA-BVILLE-SPECIAL-16,"B'Ville Special - 16""",1,0,visible,,,taxable,,1,,0,0,0,20.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-bville-special.jpg,BVL-PIZZA-BVILLE-SPECIAL,1,Size,"16""",1,0,yes,pizza-bville-special
variable,BVL-PIZZA-THAI-CHILI,"Sesame Thai Chili",1,0,visible,"Thai chili spread topped with sesame chicken, mozzarella and garnished with ranch dressing","Thai chili spread topped with sesame chicken, mozzarella and garnished with ranch dressing",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-thai-chili.jpg,,72,Size,"12"" | 16""",1,0,yes,pizza-thai-chili
variation,BVL-PIZZA-THAI-CHILI-12,"Sesame Thai Chili - 12""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-thai-chili.jpg,BVL-PIZZA-THAI-CHILI,0,Size,"12""",1,0,yes,pizza-thai-chili
variation,BVL-PIZZA-THAI-CHILI-16,"Sesame Thai Chili - 16""",1,0,visible,,,taxable,,1,,0,0,0,22.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-thai-chili.jpg,BVL-PIZZA-THAI-CHILI,1,Size,"16""",1,0,yes,pizza-thai-chili
variable,BVL-PIZZA-DON-POMODORO,"Don Pomodoro",1,0,visible,"Mozzarella, fresh plum tomatoes, fresh basil garnished with grated pecorino cheese","Mozzarella, fresh plum tomatoes, fresh basil garnished with grated pecorino cheese",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-don-pomodoro.jpg,,73,Size,"12"" | 16""",1,0,yes,pizza-don-pomodoro
variation,BVL-PIZZA-DON-POMODORO-12,"Don Pomodoro - 12""",1,0,visible,,,taxable,,1,,0,0,0,13.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-don-pomodoro.jpg,BVL-PIZZA-DON-POMODORO,0,Size,"12""",1,0,yes,pizza-don-pomodoro
variation,BVL-PIZZA-DON-POMODORO-16,"Don Pomodoro - 16""",1,0,visible,,,taxable,,1,,0,0,0,17.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-don-pomodoro.jpg,BVL-PIZZA-DON-POMODORO,1,Size,"16""",1,0,yes,pizza-don-pomodoro
variable,BVL-PIZZA-COMBINATION,Combination,1,0,visible,"Pepperoni, sausage, mushroom, onion & peppers","Pepperoni, sausage, mushroom, onion & peppers",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-combination.jpg,,74,Size,"12"" | 16""",1,0,yes,pizza-combination
variation,BVL-PIZZA-COMBINATION-12,"Combination - 12""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-combination.jpg,BVL-PIZZA-COMBINATION,0,Size,"12""",1,0,yes,pizza-combination
variation,BVL-PIZZA-COMBINATION-16,"Combination - 16""",1,0,visible,,,taxable,,1,,0,0,0,22.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-combination.jpg,BVL-PIZZA-COMBINATION,1,Size,"16""",1,0,yes,pizza-combination
simple,BVL-PLATTERS-SHRIMP-KABABS,"Char-Grilled Shrimp Kababs",1,0,visible,"Served with house salad","Served with house salad",taxable,,1,,0,0,0,17.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-shrimp-kababs.jpg,,75,,,,,yes,platters-shrimp-kababs
simple,BVL-PLATTERS-SALMON,"Norwegian Salmon",1,0,visible,"Fresh, hand-cut, lightly seasoned & grilled salmon served with house salad","Fresh, hand-cut, lightly seasoned & grilled salmon served with house salad",taxable,,1,,0,0,0,16.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-salmon.jpg,,76,,,,,yes,platters-salmon
simple,BVL-PLATTERS-GYRO,Gyro,1,0,visible,"Sliced fresh lamb served with tzatziki sauce, rice & house salad","Sliced fresh lamb served with tzatziki sauce, rice & house salad",taxable,,1,,0,0,0,14.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-gyro.jpg,,77,,,,,yes,platters-gyro
simple,BVL-PLATTERS-FALAFEL,"Falafel Platter",1,0,visible,"Ground chick peas, onions, garlic, parsley, & our secret spice blend, served with tahini sauce, rice & house salad","Ground chick peas, onions, garlic, parsley, & our secret spice blend, served with tahini sauce, rice & house salad",taxable,,1,,0,0,0,12.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-falafel.jpg,,78,,,,,yes,platters-falafel
simple,BVL-PLATTERS-CHICKEN-KABAB,"Chicken Kabab",1,0,visible,"Char-grilled marinated chicken breast served with rice, salad and topped with sautéed onions & peppers","Char-grilled marinated chicken breast served with rice, salad and topped with sautéed onions & peppers",taxable,,1,,0,0,0,14.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-chicken-kabab.jpg,,79,,,,,yes,platters-chicken-kabab
simple,BVL-PLATTERS-CHICKEN-GYRO,"Chicken Gyro",1,0,visible,"Greek-style sliced chicken breast with peppers & onions, served with rice, salad & tzatziki sauce","Greek-style sliced chicken breast with peppers & onions, served with rice, salad & tzatziki sauce",taxable,,1,,0,0,0,14.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-chicken-gyro.jpg,,80,,,,,yes,platters-chicken-gyro
simple,BVL-PLATTERS-SHAWARMA,Shawarma,1,0,visible,"Marinated & thinly sliced chicken breast with sautéed peppers & onions. Served with rice, salad & garlic sauce","Marinated & thinly sliced chicken breast with sautéed peppers & onions. Served with rice, salad & garlic sauce",taxable,,1,,0,0,0,14.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-shawarma.jpg,,81,,,,,yes,platters-shawarma
simple,BVL-PLATTERS-CHICKEN-PARM,"Chicken Parmesan",1,0,visible,"Breaded chicken breast topped with our homemade marinara sauce & mozzarella, served over pasta","Breaded chicken breast topped with our homemade marinara sauce & mozzarella, served over pasta",taxable,,1,,0,0,0,15.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-chicken-parm.jpg,,82,,,,,yes,platters-chicken-parm
simple,BVL-PLATTERS-QUESADILLA,"Chicken Quesadilla",1,0,visible,"Sautéed marinated chicken with onions & peppers","Sautéed marinated chicken with onions & peppers",taxable,,1,,0,0,0,11.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-quesadilla.jpg,,83,,,,,yes,platters-quesadilla
simple,BVL-PLATTERS-SAUSAGE-PEPPERS,"Sausage, Peppers & Onion Parmesan",1,0,visible,,,taxable,,1,,0,0,0,12.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-sausage-peppers.jpg,,84,,,,,yes,platters-sausage-peppers
simple,BVL-PLATTERS-EGGPLANT-PARM,"Eggplant Parmesan",1,0,visible,"Eggplant cutlets, marinara & mozzarella cheese, topped with grated pecorino","Eggplant cutlets, marinara & mozzarella cheese, topped with grated pecorino",taxable,,1,,0,0,0,12.95,Headlines,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/platters-eggplant-parm.jpg,,85,,,,,yes,platters-eggplant-parm
simple,BVL-KIDS-GRILLED-CHEESE,"Grilled Cheese",1,0,visible,"Choice of fries or broccoli","Choice of fries or broccoli",taxable,,1,,0,0,0,7.95,"Kids Menu","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/kids-grilled-cheese.jpg,,86,,,,,yes,kids-grilled-cheese
simple,BVL-KIDS-TENDERS,"Chicken Tenders",1,0,visible,"Choice of fries or broccoli","Choice of fries or broccoli",taxable,,1,,0,0,0,7.95,"Kids Menu","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/kids-tenders.jpg,,87,,,,,yes,kids-tenders
simple,BVL-KIDS-HOT-DOG,"Hot Dog",1,0,visible,"Choice of fries or broccoli","Choice of fries or broccoli",taxable,,1,,0,0,0,7.95,"Kids Menu","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/kids-hot-dog.jpg,,88,,,,,yes,kids-hot-dog
simple,BVL-KIDS-MAC-CHEESE,"Mac & Cheese",1,0,visible,"Not served with a side","Not served with a side",taxable,,1,,0,0,0,7.95,"Kids Menu","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/kids-mac-cheese.jpg,,89,,,,,yes,kids-mac-cheese
simple,BVL-KIDS-PASTA,"Pasta with Butter or Marinara",1,0,visible,"Not served with a side","Not served with a side",taxable,,1,,0,0,0,7.95,"Kids Menu","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/kids-pasta.jpg,,90,,,,,yes,kids-pasta
simple,BVL-DESSERTS-GELATO-YOGURT-BERRIES,"Coppa Yogurt & Berries",1,0,visible,"Yogurt gelato swirled together with mixed berry sauce, topped with blueberries and currants","Yogurt gelato swirled together with mixed berry sauce, topped with blueberries and currants",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-yogurt-berries.png,,91,,,,,yes,gelato-yogurt-berries
simple,BVL-DESSERTS-GELATO-CREME-BRULEE,"Espresso Creme Brulee",1,0,visible,"Creamy custard flavored with espresso, topped with caramelized sugar","Creamy custard flavored with espresso, topped with caramelized sugar",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-creme-brulee.png,,92,,,,,yes,gelato-creme-brulee
simple,BVL-DESSERTS-GELATO-MASCARPONE,"Coppa Mascarpone",1,0,visible,"A chocolate cream followed by a smooth mascarpone cream, topped with Amaretto cookie crumbs and chocolate curls","A chocolate cream followed by a smooth mascarpone cream, topped with Amaretto cookie crumbs and chocolate curls",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-mascarpone.png,,93,,,,,yes,gelato-mascarpone
simple,BVL-DESSERTS-GELATO-LIMONCELLO,"Limoncello Flute",1,0,visible,"Refreshing lemon gelato made with lemons from Sicily, swirled together with Limoncello sauce","Refreshing lemon gelato made with lemons from Sicily, swirled together with Limoncello sauce",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-limoncello.png,,94,,,,,yes,gelato-limoncello
simple,BVL-DESSERTS-GELATO-HAZELNUT,"Hazelnut Chocolate Flute",1,0,visible,"Smooth hazelnut gelato swirled with rich chocolate sauce presented in a flute glass","Smooth hazelnut gelato swirled with rich chocolate sauce presented in a flute glass",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-hazelnut.png,,95,,,,,yes,gelato-hazelnut
simple,BVL-DESSERTS-GELATO-SPAGNOLA,"Coppa Spagnola",1,0,visible,"Vanilla and Amarena cherry gelato swirled together, topped with real Amarena cherries","Vanilla and Amarena cherry gelato swirled together, topped with real Amarena cherries",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-spagnola.png,,96,,,,,yes,gelato-spagnola
simple,BVL-DESSERTS-GELATO-STRACCIATELLA,"Coppa Stracciatella",1,0,visible,"Chocolate chip gelato swirled together with chocolate syrup, topped with cocoa powder and hazelnuts","Chocolate chip gelato swirled together with chocolate syrup, topped with cocoa powder and hazelnuts",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-stracciatella.png,,97,,,,,yes,gelato-stracciatella
simple,BVL-DESSERTS-GELATO-PISTACHIO,"Coppa Pistachio",1,0,visible,"Custard gelato swirled with chocolate and pistachio gelato topped with praline pistachios","Custard gelato swirled with chocolate and pistachio gelato topped with praline pistachios",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-pistachio.png,,98,,,,,yes,gelato-pistachio
simple,BVL-DESSERTS-GELATO-GUAVA,"Guava Mango Flute",1,0,visible,"Creamy tropical guava gelato swirled with sweet mango sauce","Creamy tropical guava gelato swirled with sweet mango sauce",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-guava.png,,99,,,,,yes,gelato-guava
simple,BVL-DESSERTS-GELATO-CAFE,"Coppa Cafe",1,0,visible,"Fior di latte gelato with rich coffee and pure cocoa swirl","Fior di latte gelato with rich coffee and pure cocoa swirl",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-cafe.png,,100,,,,,yes,gelato-cafe
simple,BVL-DESSERTS-GELATO-ESPRESSO,"Coppa Catalana",1,0,visible,"Creamy custard topped with caramelized sugar","Creamy custard topped with caramelized sugar",taxable,,1,,0,0,0,5.95,"Sweet Endings","Bville Menu",http://127.0.0.1:8080/assets/photos/gelato-espresso.png,,101,,,,,yes,gelato-espresso
simple,BVL-DRINKS-ROBUST-HOUSE-BLEND,"Robust House Blend",1,0,visible,"Dark roast, smooth finish","Dark roast, smooth finish",taxable,,1,,0,0,0,2.99,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,102,,,,,yes,drinks-robust-house-blend
simple,BVL-DRINKS-ESPRESSO,Espresso,1,0,visible,"Single or double shot","Single or double shot",taxable,,1,,0,0,0,2.49,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,103,,,,,yes,drinks-espresso
simple,BVL-DRINKS-CAPPUCCINO,Cappuccino,1,0,visible,"Steamed milk, thick foam","Steamed milk, thick foam",taxable,,1,,0,0,0,4.49,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,104,,,,,yes,drinks-cappuccino
simple,BVL-DRINKS-LATTE,Latte,1,0,visible,"Espresso with steamed milk","Espresso with steamed milk",taxable,,1,,0,0,0,4.99,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,105,,,,,yes,drinks-latte
simple,BVL-DRINKS-COLD-BREW,"Cold Brew",1,0,visible,"Slow-steeped, served over ice","Slow-steeped, served over ice",taxable,,1,,0,0,0,4.49,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,106,,,,,yes,drinks-cold-brew
simple,BVL-DRINKS-SEASONAL-SPECIAL,"Seasonal Special",1,0,visible,"Ask your barista","Ask your barista",taxable,,1,,0,0,0,5.49,"Cafe Robust","Bville Menu",http://127.0.0.1:8080/assets/photos/coffee.jpg,,107,,,,,yes,drinks-seasonal-special
