ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
15,simple,BVL-STARTERS-BUFFALO-MAC,"Buffalo Chicken Mac & Cheese",1,0,visible,,,taxable,,1,,,,,,,,,1,,,9.95,Starters,,,assets/photos/menu/starters-buffalo-mac.jpg,,,,,,,,,14
16,simple,BVL-STARTERS-NUGGETS,"Chicken Nuggets & Fries",1,0,visible,"6 chicken nuggets with sauce","6 chicken nuggets with sauce",taxable,,1,,,,,,,,,1,,,7.95,Starters,,,assets/photos/menu/starters-nuggets.jpg,,,,,,,,,15
17,simple,BVL-STARTERS-TENDERS,"Chicken Tenders",1,0,visible,"5 chicken tenders with fries & sauce","5 chicken tenders with fries & sauce",taxable,,1,,,,,,,,,1,,,7.95,Starters,,,assets/photos/menu/starters-tenders.jpg,,,,,,,,,16
18,simple,BVL-STARTERS-RICE,Rice,1,0,visible,,,taxable,,1,,,,,,,,,1,,,3.95,Starters,,,assets/photos/menu/starters-rice.jpg,,,,,,,,,17
19,simple,BVL-STARTERS-SWEET-POTATO-FRIES,"Sweet Potato Fries",1,0,visible,,,taxable,,1,,,,,,,,,1,,,3.95,Starters,,,assets/photos/menu/starters-sweet-potato-fries.jpg,,,,,,,,,18
20,simple,BVL-STARTERS-FRENCH-FRIES,"French Fries",1,0,visible,,,taxable,,1,,,,,,,,,1,,,3.95,Starters,,,assets/photos/menu/starters-french-fries.jpg,,,,,,,,,19
21,simple,BVL-STARTERS-DISCO-FRIES,"Disco Fries",1,0,visible,,,taxable,,1,,,,,,,,,1,,,6.95,Starters,,,assets/photos/menu/starters-disco-fries.jpg,,,,,,,,,20
22,simple,BVL-STARTERS-ONION-RINGS,"Onion Rings",1,0,visible,,,taxable,,1,,,,,,,,,1,,,5.95,Starters,,,assets/photos/menu/starters-onion-rings.jpg,,,,,,,,,21
23,simple,BVL-STARTERS-SAUTEED-VEGGIE,"Sautéed Veggie",1,0,visible,,,taxable,,1,,,,,,,,,1,,,4.95,Starters,,,assets/photos/menu/starters-sauteed-veggie.jpg,,,,,,,,,22
24,simple,BVL-SHAKES-MILKSHAKE,Milkshake,1,0,visible,"NutterButter, Cookies & Cream, Chocolate, Vanilla, Strawberry","NutterButter, Cookies & Cream, Chocolate, Vanilla, Strawberry",taxable,,1,,,,,,,,,1,,,4.95,Shakes,,,assets/photos/menu/shakes-milkshake.jpg,,,,,,,,,23
